Lot,recipe,recipe_step,IONGAUGEPRESSURE,ETCHBEAMVOLTAGE,ETCHBEAMCURRENT,ETCHSUPPRESSORVOLTAGE,ETCHSUPPRESSORCURRENT,FLOWCOOLFLOWRATE,FLOWCOOLPRESSURE
963,144,1.0,-1.4564130366055303,-1.2607012013837442,-1.281816543809868,-1.3846059163966742,-1.2799791191542498,-1.6816223144800846,-1.953704208626959
963,144,1.0,-1.4562322931712994,-1.260301684496412,-1.281816543809868,-1.3846059163966742,-1.276656517098646,-1.6816223144800846,-1.953704208626959
963,144,1.0,-1.4561380138596052,-1.2609409061467889,-1.281816543809868,-1.3846059163966742,-1.2770256951048242,-1.6816223144800846,-1.953704208626959
963,144,1.0,-1.4561662394886477,-1.260381587202709,-1.281816543809868,-1.3846059163966742,-1.2770256951048242,-1.6816223144800846,-1.953704208626959
963,144,1.0,-1.4565541541753844,-1.2602217817901151,-1.281816543809868,-1.3846059163966742,-1.2762873390924676,-1.6816223144800846,-1.953704208626959
963,144,1.0,-1.4566253263310436,-1.260061976377521,-1.281816543809868,-1.3846059163966742,-1.274810627067755,-1.6816223144800846,-1.953704208626959
963,144,1.0,-1.4566917184251342,-1.260621298677447,-1.281816543809868,-1.3846059163966742,-1.2792407631418936,-1.6816223144800846,-1.953704208626959
963,144,1.0,-1.456779451590565,-1.260301684496412,-1.281816543809868,-1.3846059163966742,-1.2796099411480717,-1.6816223144800846,-1.953704208626959
963,144,1.0,-1.4568519456659057,-1.2607012013837442,-1.281816543809868,-1.3846059163966742,-1.2773948731110023,-1.6816223144800846,-1.953704208626959
963,144,1.0,-1.4569085132529225,-1.2607811007341947,-1.281816543809868,-1.3846059163966742,-1.2796099411480717,-1.6816223144800846,-1.953704208626959
963,144,1.0,-1.4569603377921212,-1.2609409061467889,-1.281816543809868,-1.3846059163966742,-1.2770256951048242,-1.6816223144800846,-1.953704208626959
963,144,1.0,-1.4569603377921212,-1.260381587202709,-1.281816543809868,-1.3846059163966742,-1.2773948731110023,-1.6816223144800846,-1.953704208626959
963,144,1.0,-1.4570087782169352,-1.2607811007341947,-1.281816543809868,-1.3846059163966742,-1.278871585135715,-1.6816223144800846,-1.953704208626959
963,144,1.0,-1.4570087782169352,-1.260301684496412,-1.281816543809868,-1.3846059163966742,-1.276656517098646,-1.6816223144800846,-1.953704208626959
963,144,1.0,-1.4570541729388025,-1.260141879083818,-1.281816543809868,-1.3846059163966742,-1.2770256951048242,-1.6868802890261303,-1.908090890794248
963,144,1.0,-1.4570541729388025,-1.260621298677447,-1.281816543809868,-1.3846059163966742,-1.2777640511171806,0.5780914866606363,-0.0842017215615776
963,144,1.0,-1.4570541729388025,-1.260141879083818,-1.281816543809868,-1.3846059163966742,-1.278502407129537,0.609235275120096,0.2948282663217372
963,144,1.0,-1.4570985471386757,-1.2596624628460351,-1.281816543809868,-1.3846059163966742,-1.276656517098646,0.5744506309367998,0.33274200137041
963,144,1.0,-1.4570985471386757,-1.2599820736712235,-1.281816543809868,-1.3846059163966742,-1.2770256951048242,0.6020906670260407,0.3680664030426326
963,144,1.0,-1.4570985471386757,-1.260061976377521,-1.281816543809868,-1.3846059163966742,-1.274810627067755,0.6235275380493981,0.3834971458470067
963,144,1.0,-1.4571398703479237,-1.2598222682586295,-1.281816543809868,-1.3846059163966742,-1.276656517098646,0.5763396104755266,0.3950544143321379
