Compound name,Class_0,Class_1,y_true,idx,type
NaYCrReO6,0.371257162,0.628742838,1,68,Train
GdSnMnNiO6,1,0,0,26,Train
GdCaMnNiO6,0.93040293,0.06959707,0,22,Train
KGdFeWO6,0.041880342,0.958119658,1,31,Train
MgHfMnNiO6,0.929181929,0.070818071,0,57,Train
SrDyMnNiO6,0.428407703,0.571592297,1,97,Train
CaHfMnNiO6,0.94017094,0.05982906,0,15,Train
KYMnOsO6,0.009615385,0.990384615,1,45,Train
RbYVReO6,0.03525641,0.96474359,1,90,Train
RbYVOsO6,0.025641026,0.974358974,1,89,Train
BaZrMnNiO6,0.923076923,0.076923077,0,9,Train
KGdNiReO6,0.016239316,0.983760684,1,34,Train
NaYCrWO6,0.29946229,0.70053771,1,69,Train
SrSnMnNiO6,0.864316239,0.135683761,0,102,Train
HgHfMnNiO6,0.873076923,0.126923077,0,28,Train
KYCrOsO6,0,1,1,41,Train
BaPbMnNiO6,0.776098901,0.223901099,0,5,Train
LaHoMnNiO6,0.984615385,0.015384615,0,54,Train
RbTmCrReO6,0.046153846,0.953846154,1,82,Train
KYCoWO6,0.041880342,0.958119658,1,40,Train
KGdVOsO6,0.009615385,0.990384615,1,36,Train
CaPbMnNiO6,0.870940171,0.129059829,0,16,Train
PbTmMnNiO6,0.909401709,0.090598291,0,81,Train
KGdNiWO6,0.016239316,0.983760684,1,35,Train
BaTbMnNiO6,0.666930292,0.333069708,1,7,Train
KYFeWO6,0.067521368,0.932478632,1,44,Train
NaYCoOsO6,0.321653987,0.678346013,1,65,Train
ZnSnMnNiO6,0.962606838,0.037393162,0,107,Train
HgCeMnNiO6,0.943589744,0.056410256,0,27,Train
CdTbMnNiO6,0.94017094,0.05982906,0,19,Train
SrHfMnNiO6,0.821123321,0.178876679,0,99,Train
RbYVZrO6,0.128205128,0.871794872,1,92,Train
GdSnMnNiO6,1,0,0,25,Train
NaLuCrWO6,0.203216869,0.796783131,1,63,Train
KYVOsO6,0.009615385,0.990384615,1,50,Train
BiZnMnNiO6,0.880555556,0.119444444,0,13,Train
GdMgMnNiO6,0.924908425,0.075091575,0,24,Train
BaHfMnNiO6,0.923076923,0.076923077,0,3,Train
CaZrMnNiO6,0.991452991,0.008547009,0,17,Train
KYCoReO6,0.085470085,0.914529915,1,39,Train
BaTmMnNiO6,0.768639694,0.231360306,0,8,Train
RbYCoOsO6,0.113034188,0.886965812,1,84,Train
BaSmMnNiO6,0.521459096,0.478540904,0,6,Train
NaYFeOsO6,0.321653987,0.678346013,0,70,Train
SmCaMnNiO6,0.863095238,0.136904762,0,94,Train
RbYCrReO6,0.159188034,0.840811966,0,86,Train
LaSnMnNiO6,1,0,0,55,Train
KYVReO6,0.03525641,0.96474359,1,51,Train
NaYNiOsO6,0.30929135,0.69070865,1,73,Train
KYNiOsO6,0.008547009,0.991452991,1,47,Train
NaYNiReO6,0.38429135,0.61570865,0,74,Train
NaLuCoWO6,0.208100873,0.791899127,1,62,Train
SrZrMnNiO6,0.910866911,0.089133089,0,104,Train
RbYCrOsO6,0.03525641,0.96474359,1,85,Train
KYCrWO6,0.025641026,0.974358974,1,42,Train
MgSnMnNiO6,0.894993895,0.105006105,0,59,Train
KYNiWO6,0.054700855,0.945299145,1,49,Train
TmSnMnNiO6,0.88034188,0.11965812,0,105,Train
MgPbMnNiO6,0.678327228,0.321672772,1,58,Train
NaYVReO6,0.345616136,0.654383864,0,76,Train
KGdMnWO6,0,1,1,33,Train
SrSmMnNiO6,0.396631147,0.603368853,1,101,Train
MgZrMnNiO6,0.98046398,0.01953602,0,60,Train
NaLuVWO6,0.17009721,0.82990279,1,64,Train
RbYVWO6,0.025641026,0.974358974,1,91,Train
KYCoOsO6,0.048931624,0.951068376,1,38,Train
HgSnMnNiO6,0.940384615,0.059615385,0,29,Train
SrCeMnNiO6,0.535500611,0.464499389,0,96,Train
BaDyMnNiO6,0.708810634,0.291189366,0,1,Train
LaDyMnNiO6,0.95042735,0.04957265,0,53,Train
GdCaMnNiO6,0.93040293,0.06959707,0,21,Train
BaGdMnNiO6,0.633596959,0.366403041,0,2,Train
GdMgMnNiO6,0.924908425,0.075091575,0,23,Train
RbYNiOsO6,0.082264957,0.917735043,1,88,Train
SrGdMnNiO6,0.441502942,0.558497058,1,98,Train
NaYVOsO6,0.258009298,0.741990702,1,75,Train
RbYCrWO6,0.025641026,0.974358974,1,87,Train
RbTmVReO6,0.046153846,0.953846154,1,83,Train
DyCaMnNiO6,0.899145299,0.100854701,0,20,Train
NaLnCoOsO6,0.252972668,0.747027332,1,61,Train
NaYMnReO6,0.328522119,0.671477881,1,72,Train
CaCeMnNiO6,0.838328338,0.161671662,0,14,Train
SmBaMnNiO6,0.547100122,0.452899878,1,93,Train
KYVWO6,0.025641026,0.974358974,1,52,Train
SrTmMnNiO6,0.522424797,0.477575203,1,103,Train
NaYVWO6,0.345616136,0.654383864,1,77,Test
BiCaMnNiO6,0.883760684,0.116239316,0,10,Test
BaHfMnNiO6,0.923076923,0.076923077,0,4,Test
SrHoMnNiO6,0.462595738,0.537404262,1,100,Test
NaYFeReO6,0.380414671,0.619585329,0,71,Test
NaYCoWO6,0.358192449,0.641807551,1,67,Test
KGdCoReO6,0.056623932,0.943376068,1,30,Test
KYMnWO6,0.025641026,0.974358974,1,46,Test
SmSnMnNiO6,0.903846154,0.096153846,0,95,Test
BiMgMnNiO6,0.716788767,0.283211233,0,11,Test
PbDyMnNiO6,0.909401709,0.090598291,0,79,Test
KYNiReO6,0.054700855,0.945299145,1,48,Test
BaCeMnNiO6,0.652869353,0.347130647,1,0,Test
PbSmMnNiO6,0.969230769,0.030769231,0,80,Test
CdPbMnNiO6,0.940384615,0.059615385,0,18,Test
ZnCeMnNiO6,0.878205128,0.121794872,0,106,Test
LuSnMnNiO6,0.94017094,0.05982906,0,56,Test
NdSnMnNiO6,0.945054945,0.054945055,0,78,Test
NaYCoReO6,0.371012961,0.628987039,1,66,Test
KYFeOsO6,0.034188034,0.965811966,1,43,Test
BiSnMnNiO6,0.969230769,0.030769231,0,12,Test
KGdVWO6,0,1,1,37,Test
