Compound name,Class_0,Class_1,y_true,idx
NaYCrReO6,0.371257162,0.628742838,1,68
GdSnMnNiO6,1,0,0,26
GdCaMnNiO6,0.93040293,0.06959707,0,22
KGdFeWO6,0.041880342,0.958119658,1,31
MgHfMnNiO6,0.929181929,0.070818071,0,57
SrDyMnNiO6,0.428407703,0.571592297,1,97
CaHfMnNiO6,0.94017094,0.05982906,0,15
KYMnOsO6,0.009615385,0.990384615,1,45
RbYVReO6,0.03525641,0.96474359,1,90
RbYVOsO6,0.025641026,0.974358974,1,89
BaZrMnNiO6,0.923076923,0.076923077,0,9
KGdNiReO6,0.016239316,0.983760684,1,34
NaYCrWO6,0.29946229,0.70053771,1,69
SrSnMnNiO6,0.864316239,0.135683761,0,102
HgHfMnNiO6,0.873076923,0.126923077,0,28
KYCrOsO6,0,1,1,41
BaPbMnNiO6,0.776098901,0.223901099,0,5
LaHoMnNiO6,0.984615385,0.015384615,0,54
RbTmCrReO6,0.046153846,0.953846154,1,82
KYCoWO6,0.041880342,0.958119658,1,40
KGdVOsO6,0.009615385,0.990384615,1,36
CaPbMnNiO6,0.870940171,0.129059829,0,16
PbTmMnNiO6,0.909401709,0.090598291,0,81
KGdNiWO6,0.016239316,0.983760684,1,35
BaTbMnNiO6,0.666930292,0.333069708,1,7
KYFeWO6,0.067521368,0.932478632,1,44
NaYCoOsO6,0.321653987,0.678346013,1,65
ZnSnMnNiO6,0.962606838,0.037393162,0,107
HgCeMnNiO6,0.943589744,0.056410256,0,27
CdTbMnNiO6,0.94017094,0.05982906,0,19
SrHfMnNiO6,0.821123321,0.178876679,0,99
RbYVZrO6,0.128205128,0.871794872,1,92
GdSnMnNiO6,1,0,0,25
NaLuCrWO6,0.203216869,0.796783131,1,63
KYVOsO6,0.009615385,0.990384615,1,50
BiZnMnNiO6,0.880555556,0.119444444,0,13
GdMgMnNiO6,0.924908425,0.075091575,0,24
BaHfMnNiO6,0.923076923,0.076923077,0,3
CaZrMnNiO6,0.991452991,0.008547009,0,17
KYCoReO6,0.085470085,0.914529915,1,39
BaTmMnNiO6,0.768639694,0.231360306,0,8
RbYCoOsO6,0.113034188,0.886965812,1,84
BaSmMnNiO6,0.521459096,0.478540904,0,6
NaYFeOsO6,0.321653987,0.678346013,0,70
SmCaMnNiO6,0.863095238,0.136904762,0,94
RbYCrReO6,0.159188034,0.840811966,0,86
LaSnMnNiO6,1,0,0,55
KYVReO6,0.03525641,0.96474359,1,51
NaYNiOsO6,0.30929135,0.69070865,1,73
KYNiOsO6,0.008547009,0.991452991,1,47
NaYNiReO6,0.38429135,0.61570865,0,74
NaLuCoWO6,0.208100873,0.791899127,1,62
SrZrMnNiO6,0.910866911,0.089133089,0,104
RbYCrOsO6,0.03525641,0.96474359,1,85
KYCrWO6,0.025641026,0.974358974,1,42
MgSnMnNiO6,0.894993895,0.105006105,0,59
KYNiWO6,0.054700855,0.945299145,1,49
TmSnMnNiO6,0.88034188,0.11965812,0,105
MgPbMnNiO6,0.678327228,0.321672772,1,58
NaYVReO6,0.345616136,0.654383864,0,76
KGdMnWO6,0,1,1,33
SrSmMnNiO6,0.396631147,0.603368853,1,101
MgZrMnNiO6,0.98046398,0.01953602,0,60
NaLuVWO6,0.17009721,0.82990279,1,64
RbYVWO6,0.025641026,0.974358974,1,91
KYCoOsO6,0.048931624,0.951068376,1,38
HgSnMnNiO6,0.940384615,0.059615385,0,29
SrCeMnNiO6,0.535500611,0.464499389,0,96
BaDyMnNiO6,0.708810634,0.291189366,0,1
LaDyMnNiO6,0.95042735,0.04957265,0,53
GdCaMnNiO6,0.93040293,0.06959707,0,21
BaGdMnNiO6,0.633596959,0.366403041,0,2
GdMgMnNiO6,0.924908425,0.075091575,0,23
RbYNiOsO6,0.082264957,0.917735043,1,88
SrGdMnNiO6,0.441502942,0.558497058,1,98
NaYVOsO6,0.258009298,0.741990702,1,75
RbYCrWO6,0.025641026,0.974358974,1,87
RbTmVReO6,0.046153846,0.953846154,1,83
DyCaMnNiO6,0.899145299,0.100854701,0,20
NaLnCoOsO6,0.252972668,0.747027332,1,61
NaYMnReO6,0.328522119,0.671477881,1,72
CaCeMnNiO6,0.838328338,0.161671662,0,14
SmBaMnNiO6,0.547100122,0.452899878,1,93
KYVWO6,0.025641026,0.974358974,1,52
SrTmMnNiO6,0.522424797,0.477575203,1,103
