Compound name,Class_0,Class_1,Class_2,y_true,idx,type
SrSmMnNiO6_C,0.68226454,0.166273198,0.151462262,0,157,Train
BaCeMnNiO6_R,0.145160014,0.306303042,0.548536944,2,2,Train
NaYNiWO6_R,0.107388664,0.074240891,0.818370445,2,118,Train
NaYNiOsO6_L,0.213110768,0.685299723,0.101589509,1,112,Train
LaGdMnNiO6_R,0.148336587,0.179207085,0.672456328,2,68,Train
RbYMnReO6_L,0.158008279,0.631238596,0.210753125,1,133,Train
HgSnMnNiO6_C,0.809576023,0.094944894,0.095479082,0,45,Train
CaZrMnNiO6_L,0.113340766,0.71570093,0.170958304,1,26,Train
RbYVWO6_C,0.692537689,0.161472997,0.145989315,0,142,Train
NaLuCoWO6_C,0.820946671,0.124694354,0.054358974,0,84,Train
NaYCoReO6_C,0.727373578,0.231087961,0.041538462,0,95,Train
NaYCoOsO6_L,0.180722104,0.717148576,0.10212932,1,93,Train
GdSnMnNiO6_L,0.252000717,0.55982176,0.188177523,1,36,Train
NaYMnReO6_L,0.288858247,0.63082124,0.080320513,1,109,Train
CaHfMnNiO6_L,0.102192493,0.711241621,0.186565885,1,22,Train
NaLuVWO6_C,0.798510774,0.147130252,0.054358974,0,90,Train
RbYMnReO6_R,0.042975486,0.047375068,0.909649446,2,134,Train
NaYCoOsO6_R,0.075,0.106089744,0.818910256,2,94,Train
BaTbMnNiO6_R,0.199271651,0.3130235,0.487704849,2,11,Train
LaGdMnNiO6_C,0.735370742,0.178621432,0.086007826,0,66,Train
RbYCrWO6_C,0.63233702,0.221673665,0.145989315,0,128,Train
BaHfMnNiO6_R,0.075484878,0.258988027,0.665527095,2,6,Train
CdCeMnNiO6_R,0.119181102,0.220262179,0.660556718,2,27,Train
SrCeMnNiO6_L,0.190124489,0.560279636,0.249595875,1,147,Train
RbYVWO6_R,0.042975486,0.047375068,0.909649446,2,143,Train
GdSrMnNiO6_C,0.704884975,0.220789515,0.074325509,0,38,Train
HgCeMnNiO6_R,0.126125547,0.217348426,0.656526027,2,41,Train
BaHfMnNiO6_L,0.185989572,0.582244016,0.231766411,1,4,Train
RbYNiWO6_R,0.07536415,0.028799217,0.895836633,2,139,Train
GdMgMnNiO6_C,0.510054106,0.377936609,0.112009284,0,32,Train
KYVReO6_R,0.097477748,0.057341132,0.84518112,2,65,Train
NaYNiOsO6_C,0.710478193,0.18185649,0.107665317,0,111,Train
LaMgMnNiO6_L,0.093573661,0.741303879,0.165122459,1,69,Train
BaSnMnNiO6_R,0.086473889,0.306984148,0.606541962,2,10,Train
NaYCoWO6_C,0.820946671,0.124694354,0.054358974,0,98,Train
RbTmVWO6_R,0.042975486,0.047375068,0.909649446,2,125,Train
BaCeMnNiO6_C,0.721426973,0.134605334,0.143967693,0,0,Train
RbTmCrWO6_R,0.028323471,0.048107669,0.923568859,2,123,Train
NaYNiReO6_L,0.382949263,0.322622002,0.294428735,1,115,Train
KYVReO6_C,0.769625985,0.201957726,0.02841629,0,64,Train
HgHfMnNiO6_R,0.115836621,0.25820729,0.625956089,2,44,Train
